DATE,IMPCH
1998-10-01,7377.7
1998-11-01,6374.1
1998-12-01,5322.1
1999-01-01,5654.0
1999-02-01,5563.1
1999-03-01,5204.0
1999-04-01,5818.9
1999-05-01,6363.1
1999-06-01,7117.4
1999-07-01,7405.7
1999-08-01,8022.1
1999-09-01,8198.2
1999-10-01,8207.9
1999-11-01,7543.5
1999-12-01,6690.3
2000-01-01,6902.1
2000-02-01,6584.4
2000-03-01,6424.1
2000-04-01,7070.5
2000-05-01,7850.2
2000-06-01,8541.7
2000-07-01,9246.4
2000-08-01,10054.0
2000-09-01,10061.7
2000-10-01,10611.6
2000-11-01,9066.8
2000-12-01,7604.7
2001-01-01,8427.5
2001-02-01,6375.6
2001-03-01,7590.2
2001-04-01,7686.8
2001-05-01,7757.9
2001-06-01,8398.2
2001-07-01,8975.3
2001-08-01,10042.9
2001-09-01,9927.8
2001-10-01,10808.3
2001-11-01,8878.8
2001-12-01,7409.1
2002-01-01,8415.4
2002-02-01,8020.8
2002-03-01,7259.0
2002-04-01,9097.6
2002-05-01,9846.9
2002-06-01,10727.2
2002-07-01,11213.2
2002-08-01,12671.4
2002-09-01,12291.5
2002-10-01,11455.0
2002-11-01,12569.6
2002-12-01,11625.0
2003-01-01,11403.5
2003-02-01,9629.6
2003-03-01,10110.0
2003-04-01,11521.9
2003-05-01,11884.7
2003-06-01,12127.3
2003-07-01,13438.6
2003-08-01,13764.9
2003-09-01,14747.5
2003-10-01,16458.3
2003-11-01,14156.9
2003-12-01,13192.8
2004-01-01,14089.0
2004-02-01,11267.1
2004-03-01,13800.1
2004-04-01,14744.8
2004-05-01,15067.1
2004-06-01,16887.8
2004-07-01,17562.1
2004-08-01,18067.9
2004-09-01,18386.9
2004-10-01,19718.2
2004-11-01,19679.0
2004-12-01,17412.0
2005-01-01,17885.8
2005-02-01,16937.6
2005-03-01,16184.9
2005-04-01,18148.5
2005-05-01,19053.2
2005-06-01,20976.7
2005-07-01,21272.7
2005-08-01,22421.3
2005-09-01,23294.5
2005-10-01,24382.9
2005-11-01,22426.1
2005-12-01,20486.0
2006-01-01,21382.5
2006-02-01,17905.4
2006-03-01,20531.3
2006-04-01,21459.1
2006-05-01,22317.6
2006-06-01,23989.7
2006-07-01,24632.0
2006-08-01,26713.3
2006-09-01,27570.6
2006-10-01,29388.6
2006-11-01,27775.1
2006-12-01,24109.2
2007-01-01,25640.6
2007-02-01,23038.9
2007-03-01,22723.0
2007-04-01,24241.5
2007-05-01,25290.6
2007-06-01,27071.0
2007-07-01,28601.2
2007-08-01,28424.5
2007-09-01,29419.0
2007-10-01,31555.4
2007-11-01,29780.7
2007-12-01,25656.6
2008-01-01,26193.0
2008-02-01,24095.9
2008-03-01,22440.2
2008-04-01,25951.7
2008-05-01,27634.5
2008-06-01,27930.6
2008-07-01,31247.3
2008-08-01,31823.7
2008-09-01,33078.7
2008-10-01,34032.4
2008-11-01,28265.0
2008-12-01,25079.5
2009-01-01,24743.5
2009-02-01,18845.5
2009-03-01,21224.7
2009-04-01,21920.6
2009-05-01,22734.1
2009-06-01,23972.8
2009-07-01,25671.1
2009-08-01,25798.1
2009-09-01,27893.9
2009-10-01,29557.8
2009-11-01,27541.7
2009-12-01,26470.1
2010-01-01,25215.9
2010-02-01,23342.8
2010-03-01,24292.2
2010-04-01,25920.2
2010-05-01,29052.4
2010-06-01,32843.1
2010-07-01,33266.8
2010-08-01,35375.3
2010-09-01,35196.7
2010-10-01,35083.3
2010-11-01,34564.3
2010-12-01,30799.6
2011-01-01,31377.4
2011-02-01,27244.7
2011-03-01,27599.7
2011-04-01,29580.3
2011-05-01,32788.1
2011-06-01,34374.8
2011-07-01,35152.2
2011-08-01,37374.1
2011-09-01,36418.6
2011-10-01,37824.1
2011-11-01,36764.9
2011-12-01,32872.3
2012-01-01,34417.5
2012-02-01,28105.2
2012-03-01,31431.3
2012-04-01,33016.3
2012-05-01,34937.8
2012-06-01,35949.4
2012-07-01,37930.8
2012-08-01,37280.6
2012-09-01,37891.8
2012-10-01,40257.1
2012-11-01,39543.7
2012-12-01,34857.6
2013-01-01,37193.7
2013-02-01,32742.7
2013-03-01,27294.1
2013-04-01,33131.9
2013-05-01,36617.6
2013-06-01,35886.0
2013-07-01,38800.4
2013-08-01,39161.3
2013-09-01,40144.4
2013-10-01,41845.5
2013-11-01,40112.3
2013-12-01,37500.2
2014-01-01,38377.8
2014-02-01,30700.3
2014-03-01,31420.7
2014-04-01,36450.5
2014-05-01,38188.6
2014-06-01,39606.2
2014-07-01,40323.4
2014-08-01,40093.0
2014-09-01,45104.5
2014-10-01,45334.5
2014-11-01,42484.2
2014-12-01,40400.3
2015-01-01,38588.4
2015-02-01,31573.6
2015-03-01,41139.2
2015-04-01,36115.8
2015-05-01,39073.2
2015-06-01,41455.0
2015-07-01,41216.4
2015-08-01,44141.9
2015-09-01,45718.2
2015-10-01,44318.6
2015-11-01,41908.3
2015-12-01,37996.2
2016-01-01,37145.7
2016-02-01,36160.8
2016-03-01,29852.7
2016-04-01,32973.2
2016-05-01,37535.2
2016-06-01,38579.0
2016-07-01,39487.1
2016-08-01,43247.3
